Profile_ID	Gene_name	CRISPR.Cas_system_associated	Description	x
cd09639	cas3	CAS-I	Type_I_CRISPR-Cas_system_helicase_and_endonuclease_Cas3	-
COG1203	cas3	CAS-I	Type_I_CRISPR-Cas_system_helicase_and_endonuclease_Cas3	-
mkCas0139	cas3	CAS-I	Type_I_CRISPR-Cas_system_helicase_and_endonuclease_Cas3	-
cd09641	cas3HD	CAS-I	Type_I_CRISPR-Cas_system_endonuclease_Cas3HD,_HD_domain	-
cd10013	cas3HD	CAS-I	Type_I_CRISPR-Cas_system_endonuclease_Cas3HD,_HD_domain	-
COG2254	cas3HD	CAS-I	Type_I_CRISPR-Cas_system_endonuclease_Cas3HD,_HD_domain	-
cls000170	cas4	CAS-I	CRISPR-Cas_system_endonuclease_Cas4_	-
pfam01930	cas4	CAS-I	CRISPR-Cas_system_endonuclease_Cas4_	-
pfam06023	cas4	CAS-I	CRISPR-Cas_system_endonuclease_Cas4_	-
cd09693	cas5	CAS-I	Type_I_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
COG1688	cas5	CAS-I	Type_I_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
pfam09704	cas5	CAS-I	Type_I_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09650	cas7	CAS-I	Type_I_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09685	cas7	CAS-I	Type_I_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
COG1857	cas7	CAS-I	Type_I_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
pfam01905	cas7	CAS-I	Type_I_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09655	casR	CAS-I	Type_I_CRISPR_system_regulatory_CARF_protein_CasR	-
cls001593	casR	CAS-I	Type_I_CRISPR_system_regulatory_CARF_protein_CasR	-
cd06127	DEDDh	CAS-I	Type_I_CRISPR_system_associated_nuclease_DEDD_family	-
cd09659	cas4	CAS-I-A	CRISPR-Cas_system_endonuclease_Cas4_	-
COG4343	cas4	CAS-I-A	CRISPR-Cas_system_endonuclease_Cas4_	-
cd09649	cas5	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09753	cas5	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cls000048	cas5	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
mkCas0161	cas5a	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5a	-
cd09759	cas6	CAS-I-A	CRISPR_system_precrRNA_processing_endoribonuclease_RAMP_protein_Cas6	-
cls000179	csa3	CAS-I-A	Type_I_CRISPR_system_regulatory_CARF_protein_Csa3	-
COG0640	csa3	CAS-I-A	Type_I_CRISPR_system_regulatory_CARF_protein_Csa3	-
cd09698	cas8a1	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a1	I-A
cd09724	cas8a1	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a1	I-A
cd09745	cas8a1	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a1	I-A
cls000150	cas8a1	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a1	I-A
pfam09658	cas8a1	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a1	I-A
cd09666	cas8a2	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a2	I-A
cd09751	cas8a2	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a2	I-A
mkCas0113	cas8a2	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a2	I-A
mkCas0199	cas8a2	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a2	I-A
pfam09703	cas8a2	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a2	I-A
cls000290	cas8a3	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a3	I-A
mkCas0164	cas8a3	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a3	I-A
mkCas0207	cas8a3	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a3	I-A
mkCas0208	cas8a3	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a3	I-A
cls000706	cas8a4	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a4	I-A
cls000809	cas8a5	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a5	I-A
cls000881	cas8a6	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a6	I-A
cls000157	cas8a7	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a7	I-A
mkCas0180	cas8a8	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_large_subunit_Cas8a8	I-A
cd09653	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
cd09750	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
cls000086	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
cls000088	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
cls000207	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
cls002148	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
mkCas0071	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
mkCas0080	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
mkCas0163	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
pfam09702	csa5gr11	CAS-I-A	Type_I-A_CRISPR_system_effector_complex_small_subunit_Csa5	I-A
COG1468	cas4	CAS-I-A,CAS-I-B,CAS-I-C,CAS-I-D,CAS-II-B	CRISPR-Cas_system_endonuclease_Cas4_	-
cd09722	cas1	CAS-I-B	Type_I-B_CRISPR-Cas_system_spacer_integrase_Cas1	-
mkCas0150	cas11b	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_small_subunit_Cas11b	-
cd09658	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09688	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09692	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09716	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cls000047	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cls001430	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
mkCas0069	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
mkCas0191	cas5	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas5	-
cd09687	cas7	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09690	cas7	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cls000038	cas7	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
mkCas0088	cas7	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09717	cas7b	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_subunit_RAMP_protein_Cas7	-
cd09672	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
cd09691	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
cd09730	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
mkCas0074	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
mkCas0106	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
mkCas0119	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
mkCas0174	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
mkCas0195	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
mkCas0209	cas8b1	CAS-I-B	Type_I-B_CRISPR_system_effector_complex_large_subunit_Cas8b1	I-B
