"","Var1","freq_I-B","percent_I-B","freq_I-C","percent_I-C","freq_I-E","percent_I-E","freq_I-F","percent_I-F","freq_II-A","percent_II-A","freq_II-C","percent_II-C"
"1","Host-Target pairs",250,0,193,0,287,0,338,0,218,0,162,0
"2","Hits not incl. PPS",250,0,193,0,287,0,338,0,218,0,162,0
"3","Quadrant p-value",0.2913,0,0.2013,0,0.0043,0,0,0,0.2646,0,0.0283,0
"4","Strand p-value",0.4867,0,0.0436,0,0.0045,0,0.4146,0,0.2495,0,0.0093,0
"5","t_3",75,30,54,27.98,95,33.1,70,20.71,55,25.23,46,28.4
"6","t_5",56,22.4,57,29.53,73,25.44,107,31.66,63,28.9,52,32.1
"7","n_3",63,25.2,43,22.28,52,18.12,46,13.61,57,26.15,27,16.67
"8","n_5",56,22.4,39,20.21,67,23.34,115,34.02,43,19.72,37,22.84
"9","n",119,47.6,82,42.49,119,41.46,161,47.63,100,45.87,64,39.51
"10","t",131,52.4,111,57.51,168,58.54,177,52.37,118,54.13,98,60.49
