"","Var1","freq_I-B","percent_I-B","freq_I-C","percent_I-C","freq_I-E","percent_I-E","freq_I-F","percent_I-F","freq_II-A","percent_II-A","freq_II-C","percent_II-C"
"1","Host-Target pairs",119,0,96,0,129,0,215,0,97,0,77,0
"2","Hits not incl. PPS",119,0,96,0,129,0,215,0,97,0,77,0
"3","Quadrant p-value",0.0068,0,0.0376,0,0.018,0,0,0,0.9168,0,0.0308,0
"4","Strand p-value",0.0433,0,0.0103,0,0.0134,0,0.5854,0,1,0,0.0395,0
"5","t_3",42,35.29,30,31.25,45,34.88,42,19.53,26,26.8,17,22.08
"6","t_5",29,24.37,31,32.29,34,26.36,70,32.56,22,22.68,31,40.26
"7","n_3",32,26.89,21,21.88,20,15.5,26,12.09,26,26.8,14,18.18
"8","n_5",16,13.45,14,14.58,30,23.26,77,35.81,23,23.71,15,19.48
"9","n",48,40.34,35,36.46,50,38.76,103,47.91,49,50.52,29,37.66
"10","t",71,59.66,61,63.54,79,61.24,112,52.09,48,49.48,48,62.34
