order.name,Subtype,counts
Actinomycetales,I-E,2
Aeromonadales,I-C,7
Aeromonadales,I-E,19
Aeromonadales,I-F,14
Alteromonadales,I-C,2
Alteromonadales,I-E,4
Alteromonadales,I-F,26
Bacillales,I-B,74
Bacillales,I-C,34
Bacillales,II-A,25
Bacillales,II-C,32
Bacteroidales,I-B,2
Bacteroidales,I-C,10
Bacteroidales,II-C,30
Bifidobacteriales,I-C,29
Bifidobacteriales,I-E,12
Bifidobacteriales,II-A,9
Burkholderiales,I-C,6
Burkholderiales,I-E,21
Burkholderiales,I-F,43
Burkholderiales,II-C,6
Campylobacterales,I-B,6
Campylobacterales,II-C,2
Cardiobacteriales,I-F,2
Cellvibrionales,I-C,2
Clostridiales,I-B,240
Clostridiales,I-C,53
Clostridiales,II-A,8
Clostridiales,II-C,16
Coriobacteriales,II-C,3
Corynebacteriales,I-E,62
Corynebacteriales,II-C,8
Cytophagales,II-C,2
Desulfovibrionales,I-C,6
Desulfuromonadales,I-C,4
Desulfuromonadales,I-E,2
Enterobacterales,I-E,226
Enterobacterales,I-F,118
Flavobacteriales,I-B,2
Flavobacteriales,II-C,50
Frankiales,I-B,2
Fusobacteriales,I-B,76
Fusobacteriales,II-A,9
Halobacteriales,I-B,8
Haloferacales,I-B,6
Lactobacillales,I-B,6
Lactobacillales,I-C,37
Lactobacillales,I-E,53
Lactobacillales,II-A,263
Lactobacillales,II-C,65
Methanobacteriales,I-B,10
Methanococcales,I-B,2
Methanomicrobiales,I-C,5
Methanosarcinales,I-B,2
Methanosarcinales,III-C,2
Methylococcales,I-E,2
Micrococcales,I-E,6
Micromonosporales,I-C,2
Micromonosporales,I-E,2
Mycoplasmatales,II-C,6
Myxococcales,I-C,4
Natrialbales,I-B,2
Neisseriales,I-C,46
Neisseriales,I-E,4
Neisseriales,I-F,2
Neisseriales,II-C,55
Nitrosomonadales,I-C,13
Oceanospirillales,I-C,7
Oceanospirillales,I-E,4
Oceanospirillales,I-F,15
Pasteurellales,I-C,31
Pasteurellales,I-F,14
Pasteurellales,II-C,4
Pseudomonadales,I-C,12
Pseudomonadales,I-E,29
Pseudomonadales,I-F,349
Rhizobiales,I-C,14
Rhizobiales,I-E,2
Rhizobiales,II-C,4
Rhodobacterales,I-C,4
Rhodobacterales,I-E,2
Rhodocyclales,I-C,7
Rhodocyclales,II-C,3
Rhodospirillales,I-C,4
Selenomonadales,I-C,7
Sphingomonadales,I-E,7
Sphingomonadales,II-C,6
Spirochaetales,II-A,7
Spirochaetales,II-C,2
Streptomycetales,I-B,2
Streptomycetales,I-C,7
Streptomycetales,I-E,49
Thermoanaerobacterales,I-B,14
Tissierellales,I-B,36
Tissierellales,I-C,4
Tissierellales,II-A,4
Veillonellales,I-C,2
Vibrionales,I-F,10
Xanthomonadales,I-C,19
Xanthomonadales,I-E,2
Xanthomonadales,I-F,8
NA,I-E,2
NA,I-F,3
