"Subtype","host.target.pair","hits.count","host.acc.","phages.targeted","target.acc.","hosts.targeting","PPS_location","Spacers"
"I-B","GCF_001601575.1$2_1106246-1143903_NC_013205_PHAGE_Thermo_THSA_485A$I-B",2,"GCF_001601575.1",5,"2_1106246-1143903_NC_013205_PHAGE_Thermo_THSA_485A",1,29104,"c(213, 190)"
"I-E","GCF_000210155.1$3_2789431-2806697_CP002364_PHAGE_Rhodob_RC1_NC_020839(5)$I-E",2,"GCF_000210155.1",1,"3_2789431-2806697_CP002364_PHAGE_Rhodob_RC1_NC_020839(5)",1,6589,"c(162, 159)"
"I-F","GCF_002165385.1$1_1097140-1173511_AFIE00000000_PHAGE_Pseudo_F116$I-F",3,"GCF_002165385.1",2,"1_1097140-1173511_AFIE00000000_PHAGE_Pseudo_F116",1,59700,"c(155, 154, 147)"
"I-C","GCF_000178115.2$1_93922-109079_NC_014828_PHAGE_Clostr_phiCD38_2$I-C",3,"GCF_000178115.2",1,"1_93922-109079_NC_014828_PHAGE_Clostr_phiCD38_2",1,12932,"c(134, 128, 33)"
"I-E","GCF_900169525.1$1_306214-330616_ACYW00000000_PHAGE_Mycoba_Giles$I-E",2,"GCF_900169525.1",1,"1_306214-330616_ACYW00000000_PHAGE_Mycoba_Giles",2,4258,"c(129, 52)"
"I-C","GCF_000723465.1$4_750839-826112_CP005998.1_PHAGE_Entero_mEp460_NC_019716(25)$I-C",2,"GCF_000723465.1",1,"4_750839-826112_CP005998.1_PHAGE_Entero_mEp460_NC_019716(25)",1,44786,"c(125, 14)"
"I-B","GCF_001282665.1$2_1657451-1701883_AE015927_PHAGE_Clostr_CD119$I-B",2,"GCF_001282665.1",5,"2_1657451-1701883_AE015927_PHAGE_Clostr_CD119",1,1472,"c(122, 40)"
"I-C","GCF_001405335.1$3300014565_____Ga0169881_100915$I-C",4,"GCF_001405335.1",4,"3300014565_____Ga0169881_100915",1,13578,"c(119, 75, 69, 68)"
"I-B","GCF_001594005.1$2_634140-664249_ABXA00000000_PHAGE_Bacill_SPBc2$I-B",2,"GCF_001594005.1",4,"2_634140-664249_ABXA00000000_PHAGE_Bacill_SPBc2",1,23832,"c(116, 100)"
"I-B","GCF_900176115.1$1_1644870-1784086_NC_022530_PHAGE_Bacill_SPBc2(69)$I-B",2,"GCF_900176115.1",4,"1_1644870-1784086_NC_022530_PHAGE_Bacill_SPBc2(69)",1,46314,"c(113, 83)"
"I-F","GCF_000302355.1$4_2869917-2915226_ACVR00000000_PHAGE_Acinet_Bphi_B1251$I-F",2,"GCF_000302355.1",1,"4_2869917-2915226_ACVR00000000_PHAGE_Acinet_Bphi_B1251",2,18744,"c(107, 69)"
"I-C","GCF_000245055.1$1_49459-75894_AECZ00000000_PHAGE_Burkho_phiE255$I-C",2,"GCF_000245055.1",3,"1_49459-75894_AECZ00000000_PHAGE_Burkho_phiE255",1,12841,"c(106, 25)"
"I-F","GCF_001308045.1$1_1573045-1623690_NC_010334_PHAGE_Aeromo_phiO18P$I-F",2,"GCF_001308045.1",3,"1_1573045-1623690_NC_010334_PHAGE_Aeromo_phiO18P",1,29844,"c(103, 90)"
"I-C","GCF_000245055.1$1_19893-62642_CCNC01000023_PHAGE_Rhodob_RC1_NC_020839(15)$I-C",2,"GCF_000245055.1",3,"1_19893-62642_CCNC01000023_PHAGE_Rhodob_RC1_NC_020839(15)",1,23826,"c(99, 63)"
"I-E","GCF_001591745.1$1_479854-530253_AFHF00000000_PHAGE_Lactob_Lj965$I-E",2,"GCF_001591745.1",3,"1_479854-530253_AFHF00000000_PHAGE_Lactob_Lj965",1,33511,"c(96, 93)"
"I-C","GCF_001278875.1$3300011815_____Ga0121725_100143$I-C",3,"GCF_001278875.1",1,"3300011815_____Ga0121725_100143",1,9154,"c(94, 70, 69)"
